HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input.globalindex	Input.lemma	Input.lemmaindex	Input.lleftcontext	Input.lheadword	Input.lrightcontext	Input.gs_expert	Answer.Category	Approve	Reject
2Z3KH1Q6SVQ84ZVL89XL9OBWL9GL2P	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:58 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:58 GMT 2012			23Q24E6AUBXHJJ46X009ZBZXO3W0WD	A1C0X3AM7X75R9	Submitted	Tue Apr 03 14:28:51 GMT 2012	Tue Apr 03 14:28:57 GMT 2012	Sun Apr 08 07:28:57 PDT 2012				6	0% (0/0)	0% (0/0)	0% (0/0)	396	England	52	The authors estimate that around 163&#44000 new cases of dementia occur in	England	and Wales each year .	LOC	Category1		
2Z3KH1Q6SVQ84ZVL89XL9OBWL9GL2P	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:58 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:58 GMT 2012			2BDY58B727M0572JZSS62FSWQGZAVX	AWRAXV1RIYR0M	Submitted	Tue Apr 03 13:57:27 GMT 2012	Tue Apr 03 13:57:33 GMT 2012	Sun Apr 08 06:57:33 PDT 2012				6	0% (0/0)	0% (0/0)	0% (0/0)	396	England	52	The authors estimate that around 163&#44000 new cases of dementia occur in	England	and Wales each year .	LOC	Category1		
2V99Y8TNKIMZFDSJXWJ2SM0QPMTW9K	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			22HW1INMHGYQRAQMSQXBJMFGZA66JM	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 14:12:45 GMT 2012	Tue Apr 03 14:12:58 GMT 2012	Sun Apr 08 07:12:58 PDT 2012				13	0% (0/0)	0% (0/0)	0% (0/0)	197	China	26	The NYT and WP run inside stories reporting that according to a human rights group&#44a recent crackdown by	China	against Protestant congregations that do not formally accept the leadership of the government has resulted in the arrest of seventy church members .	ORG	Categpory2		
2V99Y8TNKIMZFDSJXWJ2SM0QPMTW9K	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2EKMEZZ2MIKMA0H77OP3CTWX8U9N65	A1C0X3AM7X75R9	Submitted	Tue Apr 03 14:05:32 GMT 2012	Tue Apr 03 14:05:44 GMT 2012	Sun Apr 08 07:05:44 PDT 2012				12	0% (0/0)	0% (0/0)	0% (0/0)	197	China	26	The NYT and WP run inside stories reporting that according to a human rights group&#44a recent crackdown by	China	against Protestant congregations that do not formally accept the leadership of the government has resulted in the arrest of seventy church members .	ORG	Categpory2		
2V99Y8TNKIMZFDSJXWJ2SM0QPMTW9K	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2SFMHGYQ4J3NX2TAX16FSYYJ4D9NA5	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 15:07:28 GMT 2012	Tue Apr 03 15:07:36 GMT 2012	Sun Apr 08 08:07:36 PDT 2012				8	0% (0/0)	0% (0/0)	0% (0/0)	197	China	26	The NYT and WP run inside stories reporting that according to a human rights group&#44a recent crackdown by	China	against Protestant congregations that do not formally accept the leadership of the government has resulted in the arrest of seventy church members .	ORG	Categpory2		
2R6O2GMMEGOO3HFB4L9AE2SFRL9998	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2A7K0COK2JE19YCJ2OCR06O0LODSL1	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 14:43:04 GMT 2012	Tue Apr 03 14:43:07 GMT 2012	Sun Apr 08 07:43:07 PDT 2012				3	0% (0/0)	0% (0/0)	0% (0/0)	397	Europe	52	Should I go to	Europe	?	LOC	Category1		
2R6O2GMMEGOO3HFB4L9AE2SFRL9998	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2W6GOOGQSCM651X1AT9UYU01Z2UFFX	A1C0X3AM7X75R9	Submitted	Tue Apr 03 14:28:58 GMT 2012	Tue Apr 03 14:29:02 GMT 2012	Sun Apr 08 07:29:02 PDT 2012				4	0% (0/0)	0% (0/0)	0% (0/0)	397	Europe	52	Should I go to	Europe	?	LOC	Category1		
2R6O2GMMEGOO3HFB4L9AE2SFRL9998	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2WBUNU8LZ6R7N7SQRN48N3VFI8WK4A	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 13:51:27 GMT 2012	Tue Apr 03 13:51:40 GMT 2012	Sun Apr 08 06:51:40 PDT 2012				13	0% (0/0)	0% (0/0)	0% (0/0)	397	Europe	52	Should I go to	Europe	?	LOC	Category1		
2OMJ79KQW618AVTTFU3D85XDNK1JL9	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			22NGULF395SWTE30X7UN2NJC9R4QCK	A1C0X3AM7X75R9	Submitted	Tue Apr 03 13:48:54 GMT 2012	Tue Apr 03 13:49:02 GMT 2012	Sun Apr 08 06:49:02 PDT 2012				8	0% (0/0)	0% (0/0)	0% (0/0)	198	Germany	26	France seemed less aware of the threat from Nazi	Germany	&#44 allowing Hitler to remilitarize the Rhineland in 1936 in breach of the Versailles Treaty&#44a step Hitler later said he had never dreamt of getting away with .	ORG	Categpory2		
2OMJ79KQW618AVTTFU3D85XDNK1JL9	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2B4STMOFXRDSR9Z0WD4N1JFNCDPRU8	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 14:59:42 GMT 2012	Tue Apr 03 15:00:01 GMT 2012	Sun Apr 08 08:00:01 PDT 2012				19	0% (0/0)	0% (0/0)	0% (0/0)	198	Germany	26	France seemed less aware of the threat from Nazi	Germany	&#44 allowing Hitler to remilitarize the Rhineland in 1936 in breach of the Versailles Treaty&#44a step Hitler later said he had never dreamt of getting away with .	ORG	Categpory2		
2OMJ79KQW618AVTTFU3D85XDNK1JL9	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2VOSBRI8IUB2LLW71WJTPB3MBQ44GE	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 12:53:52 GMT 2012	Tue Apr 03 12:53:57 GMT 2012	Sun Apr 08 05:53:57 PDT 2012				5	0% (0/0)	0% (0/0)	0% (0/0)	198	Germany	26	France seemed less aware of the threat from Nazi	Germany	&#44 allowing Hitler to remilitarize the Rhineland in 1936 in breach of the Versailles Treaty&#44a step Hitler later said he had never dreamt of getting away with .	ORG	Category3		
22IXULRGNTBJQD9CFK6PBN63T8Q6S5	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2KNKI62NJQ21UTM8R586FKLD6QCMU1	A1BHMDRWW9ZYSO	Submitted	Tue Apr 03 13:38:34 GMT 2012	Tue Apr 03 13:38:43 GMT 2012	Sun Apr 08 06:38:43 PDT 2012				9	0% (0/0)	0% (0/0)	0% (0/0)	398	London	52	Though born in America&#44Theroux is a passionate dissector of the British character&#44having spent 20 years living in	London	0	LOC	Category1		
22IXULRGNTBJQD9CFK6PBN63T8Q6S5	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2PI0ONNVRH1K4FWDY627ANVAWW0WND	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 13:56:09 GMT 2012	Tue Apr 03 13:56:22 GMT 2012	Sun Apr 08 06:56:22 PDT 2012				13	0% (0/0)	0% (0/0)	0% (0/0)	398	London	52	Though born in America&#44Theroux is a passionate dissector of the British character&#44having spent 20 years living in	London	0	LOC	Category1		
22IXULRGNTBJQD9CFK6PBN63T8Q6S5	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2QFTBJ3MMDX52GUMOHBHF9ME80MYCW	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 13:53:35 GMT 2012	Tue Apr 03 13:53:42 GMT 2012	Sun Apr 08 06:53:42 PDT 2012				7	0% (0/0)	0% (0/0)	0% (0/0)	398	London	52	Though born in America&#44Theroux is a passionate dissector of the British character&#44having spent 20 years living in	London	0	LOC	Category1		
2K9Y0LWSBRI85LY1G908NHSUU2IC0G	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2KMC26DG67D1KUIZXZRCSK2KPCE7EJ	A3CCO4SVP8T75H	Submitted	Tue Apr 03 12:49:36 GMT 2012	Tue Apr 03 12:49:39 GMT 2012	Sun Apr 08 05:49:39 PDT 2012				3	0% (0/0)	0% (0/0)	0% (0/0)	199	Europe	27	Under the Emperor Qianlong ( Ch ien Lung )&#44Kangxi s grandson&#44conflict arose between	Europe	s empires and the Middle Kingdom .	DOT	Categpory2		
2K9Y0LWSBRI85LY1G908NHSUU2IC0G	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2QEMEGOOGQSC9X59SHJEMUUVBC5DDG	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 15:06:11 GMT 2012	Tue Apr 03 15:06:22 GMT 2012	Sun Apr 08 08:06:22 PDT 2012				11	0% (0/0)	0% (0/0)	0% (0/0)	199	Europe	27	Under the Emperor Qianlong ( Ch ien Lung )&#44Kangxi s grandson&#44conflict arose between	Europe	s empires and the Middle Kingdom .	DOT	Category3		
2K9Y0LWSBRI85LY1G908NHSUU2IC0G	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			2RAT3HVWAVKITTAI8HS76Z9A1TCNF8	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 14:05:57 GMT 2012	Tue Apr 03 14:06:11 GMT 2012	Sun Apr 08 07:06:11 PDT 2012				14	0% (0/0)	0% (0/0)	0% (0/0)	199	Europe	27	Under the Emperor Qianlong ( Ch ien Lung )&#44Kangxi s grandson&#44conflict arose between	Europe	s empires and the Middle Kingdom .	DOT	Category1		
2PWR9Y8TNKIMMJ942U8S6OM1Y798VX	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			24VK4F0OHOVROV5W23TLD2HFN8S320	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 15:10:49 GMT 2012	Tue Apr 03 15:10:58 GMT 2012	Sun Apr 08 08:10:58 PDT 2012				9	0% (0/0)	0% (0/0)	0% (0/0)	399	China	52	Although	China	s Basic Law promised that Hong Kong s existing laws and civil liberties would be upheld&#44refugees began flowing the other way .	ORG	Category3		
2PWR9Y8TNKIMMJ942U8S6OM1Y798VX	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2O5D2AC9KSSZIOK18JWUYKQP9SS0I0	A1C0X3AM7X75R9	Submitted	Tue Apr 03 13:53:54 GMT 2012	Tue Apr 03 13:54:00 GMT 2012	Sun Apr 08 06:54:00 PDT 2012				6	0% (0/0)	0% (0/0)	0% (0/0)	399	China	52	Although	China	s Basic Law promised that Hong Kong s existing laws and civil liberties would be upheld&#44refugees began flowing the other way .	ORG	Categpory2		
2PWR9Y8TNKIMMJ942U8S6OM1Y798VX	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:10 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:10 GMT 2012			2VJGNTBJ3MMDKW2OP2X2OHBAXP0AW6	A1LRRDBA84ITCJ	Submitted	Tue Apr 03 13:44:13 GMT 2012	Tue Apr 03 13:44:28 GMT 2012	Sun Apr 08 06:44:28 PDT 2012				15	0% (0/0)	0% (0/0)	0% (0/0)	399	China	52	Although	China	s Basic Law promised that Hong Kong s existing laws and civil liberties would be upheld&#44refugees began flowing the other way .	ORG	Categpory2		
2AZV8ER9Y8TN799YA1WKJHS3XDES5A	23CTUHYW2GTPWIX6AKNM569YS3ILQ3	Location or organization	Recognize whether the name of a place, like for instance London, means "the place called London" or "the institutions in London"	categorization, named entity recognition, regular polysemy, proper names, word sense disambiguation	$0.07	Tue Apr 03 12:22:25 GMT 2012	3	Department:Other	14400	432000	Tue Apr 10 12:22:25 GMT 2012			24VK4F0OHOVROV5W23TLD2HFN8F32N	A2T5CROJ0FWIJY	Submitted	Tue Apr 03 13:53:21 GMT 2012	Tue Apr 03 13:53:35 GMT 2012	Sun Apr 08 06:53:35 PDT 2012				14	0% (0/0)	0% (0/0)	0% (0/0)	200	California	27	The LAT 's &#34 Column One &#34 tells of what it calls the abortion debate 's cause celebre&#44the first murder prosecution of an abortion doctor in	California	in nearly twenty years .	LOC	Category1		
