HITId	WorkTimeInSeconds	Input.globalindex	Input.lemma	Input.lemmaindex	Input.lleftcontext	Input.lheadword	Input.lrightcontext	Input.gs_expert	Answer.Category
2VHZ2MIKMN9UVGWXLNKW0XI4A08Q99	5	-1	destruction	0	The enemy's	destruction	of the city was awful to watch.	PROC	Category1
2VHZ2MIKMN9UVGWXLNKW0XI4A08Q99	24	-1	destruction	0	The enemy's	destruction	of the city was awful to watch.	PROC	Category1
2OMJ79KQW618AVTTFU3D85XDWZXLJA	2	0	approval	1	For example&#44I could appoint a deputy with the	approval	of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees .	RES	Categpory2
2OMJ79KQW618AVTTFU3D85XDWZXLJA	5	0	approval	1	For example&#44I could appoint a deputy with the	approval	of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees .	RES	Categpory2
2OMJ79KQW618AVTTFU3D85XDWZXLJA	90	0	approval	1	For example&#44I could appoint a deputy with the	approval	of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees .	RES	Categpory2
2OMJ79KQW618AVTTFU3D85XDWZXLJA	21	0	approval	1	For example&#44I could appoint a deputy with the	approval	of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees .	RES	Categpory2
2OMJ79KQW618AVTTFU3D85XDWZXLJA	13	0	approval	1	For example&#44I could appoint a deputy with the	approval	of at least three members of a panel consisting of the Chairmen and Ranking Minority Members of our oversight committees .	RES	Categpory2
20CNU8LZ6R703WE8QSZJ7VE8EY25L8	6	195	purchase	22	Enlistment begins with the $ 500	purchase	of a Gore- Tex jacket and rain pants&#44and thereafter requires monthly tithes for boots&#44socks&#44gloves&#44goggles&#44trekking poles&#44interior-frame backpacks&#44gas stoves&#44and a really cool wrist altimeter .	DOT	Category1
20CNU8LZ6R703WE8QSZJ7VE8EY25L8	53	195	purchase	22	Enlistment begins with the $ 500	purchase	of a Gore- Tex jacket and rain pants&#44and thereafter requires monthly tithes for boots&#44socks&#44gloves&#44goggles&#44trekking poles&#44interior-frame backpacks&#44gas stoves&#44and a really cool wrist altimeter .	DOT	Category1
20CNU8LZ6R703WE8QSZJ7VE8EY25L8	14	195	purchase	22	Enlistment begins with the $ 500	purchase	of a Gore- Tex jacket and rain pants&#44and thereafter requires monthly tithes for boots&#44socks&#44gloves&#44goggles&#44trekking poles&#44interior-frame backpacks&#44gas stoves&#44and a really cool wrist altimeter .	DOT	Category3
20CNU8LZ6R703WE8QSZJ7VE8EY25L8	10	195	purchase	22	Enlistment begins with the $ 500	purchase	of a Gore- Tex jacket and rain pants&#44and thereafter requires monthly tithes for boots&#44socks&#44gloves&#44goggles&#44trekking poles&#44interior-frame backpacks&#44gas stoves&#44and a really cool wrist altimeter .	DOT	Category1
20CNU8LZ6R703WE8QSZJ7VE8EY25L8	78	195	purchase	22	Enlistment begins with the $ 500	purchase	of a Gore- Tex jacket and rain pants&#44and thereafter requires monthly tithes for boots&#44socks&#44gloves&#44goggles&#44trekking poles&#44interior-frame backpacks&#44gas stoves&#44and a really cool wrist altimeter .	DOT	Category1
2RVZXR24SMEZMT9H21E9Y8PAG9I0HB	12	196	reference	22	If auditors report separately&#44the audit report should contain a	reference	to the separate report containing this	RES	Categpory2
2RVZXR24SMEZMT9H21E9Y8PAG9I0HB	87	196	reference	22	If auditors report separately&#44the audit report should contain a	reference	to the separate report containing this	RES	Category1
2RVZXR24SMEZMT9H21E9Y8PAG9I0HB	27	196	reference	22	If auditors report separately&#44the audit report should contain a	reference	to the separate report containing this	RES	Categpory2
2RVZXR24SMEZMT9H21E9Y8PAG9I0HB	10	196	reference	22	If auditors report separately&#44the audit report should contain a	reference	to the separate report containing this	RES	Categpory2
2RVZXR24SMEZMT9H21E9Y8PAG9I0HB	6	196	reference	22	If auditors report separately&#44the audit report should contain a	reference	to the separate report containing this	RES	Categpory2
2T6K2JE1M7PK708QELFZEC05356PW6	8	1	classification	1	As the	classification	system of myosins now stands&#44plant myosins fall only into two classes - class VIII and class XI .	DOT	Category1
2T6K2JE1M7PK708QELFZEC05356PW6	33	1	classification	1	As the	classification	system of myosins now stands&#44plant myosins fall only into two classes - class VIII and class XI .	DOT	Categpory2
2T6K2JE1M7PK708QELFZEC05356PW6	5	1	classification	1	As the	classification	system of myosins now stands&#44plant myosins fall only into two classes - class VIII and class XI .	DOT	Categpory2
2T6K2JE1M7PK708QELFZEC05356PW6	73	1	classification	1	As the	classification	system of myosins now stands&#44plant myosins fall only into two classes - class VIII and class XI .	DOT	Category1
2T6K2JE1M7PK708QELFZEC05356PW6	79	1	classification	1	As the	classification	system of myosins now stands&#44plant myosins fall only into two classes - class VIII and class XI .	DOT	Category1
202M05BMJTUHLNPFB40RE7S6ESAKF2	10	197	classification	23	A	classification	approach was chosen&#44because the two primary goals of this effort were to create a comprehensive listing of precancer terms and to provide a broad hierarchy for precancer concepts .	PROC	Category1
202M05BMJTUHLNPFB40RE7S6ESAKF2	88	197	classification	23	A	classification	approach was chosen&#44because the two primary goals of this effort were to create a comprehensive listing of precancer terms and to provide a broad hierarchy for precancer concepts .	PROC	Category1
202M05BMJTUHLNPFB40RE7S6ESAKF2	6	197	classification	23	A	classification	approach was chosen&#44because the two primary goals of this effort were to create a comprehensive listing of precancer terms and to provide a broad hierarchy for precancer concepts .	PROC	Category1
202M05BMJTUHLNPFB40RE7S6ESAKF2	9	197	classification	23	A	classification	approach was chosen&#44because the two primary goals of this effort were to create a comprehensive listing of precancer terms and to provide a broad hierarchy for precancer concepts .	PROC	Category1
202M05BMJTUHLNPFB40RE7S6ESAKF2	3	197	classification	23	A	classification	approach was chosen&#44because the two primary goals of this effort were to create a comprehensive listing of precancer terms and to provide a broad hierarchy for precancer concepts .	PROC	Categpory2
2N2W4ZMAZHHREC2PI3ENZRH22NYAJH	8	198	damage	23	These warnings undoubtedly save lives : Natural disasters may cause more property	damage	in the United States&#44but they kill fewer people . )	PROC	Categpory2
2N2W4ZMAZHHREC2PI3ENZRH22NYAJH	30	198	damage	23	These warnings undoubtedly save lives : Natural disasters may cause more property	damage	in the United States&#44but they kill fewer people . )	PROC	Category3
2N2W4ZMAZHHREC2PI3ENZRH22NYAJH	73	198	damage	23	These warnings undoubtedly save lives : Natural disasters may cause more property	damage	in the United States&#44but they kill fewer people . )	PROC	Category1
2N2W4ZMAZHHREC2PI3ENZRH22NYAJH	8	198	damage	23	These warnings undoubtedly save lives : Natural disasters may cause more property	damage	in the United States&#44but they kill fewer people . )	PROC	Categpory2
2N2W4ZMAZHHREC2PI3ENZRH22NYAJH	4	198	damage	23	These warnings undoubtedly save lives : Natural disasters may cause more property	damage	in the United States&#44but they kill fewer people . )	PROC	Category1
24SB6BFMFFOYL9G0BY6DKESDIX6XK6	6	2	construction	1	Even in Kuala Lumpur - as modern an urban sprawl as you could imagine&#44criss-crossed by expressways and bristling with skyscrapers - a	construction	site abandoned a moment too long to the tropical sun and rain will soon sprout a luxuriant growth of lallang ferns and wild creepers .	DOT	Category1
24SB6BFMFFOYL9G0BY6DKESDIX6XK6	22	2	construction	1	Even in Kuala Lumpur - as modern an urban sprawl as you could imagine&#44criss-crossed by expressways and bristling with skyscrapers - a	construction	site abandoned a moment too long to the tropical sun and rain will soon sprout a luxuriant growth of lallang ferns and wild creepers .	DOT	Category1
24SB6BFMFFOYL9G0BY6DKESDIX6XK6	75	2	construction	1	Even in Kuala Lumpur - as modern an urban sprawl as you could imagine&#44criss-crossed by expressways and bristling with skyscrapers - a	construction	site abandoned a moment too long to the tropical sun and rain will soon sprout a luxuriant growth of lallang ferns and wild creepers .	DOT	Category1
24SB6BFMFFOYL9G0BY6DKESDIX6XK6	6	2	construction	1	Even in Kuala Lumpur - as modern an urban sprawl as you could imagine&#44criss-crossed by expressways and bristling with skyscrapers - a	construction	site abandoned a moment too long to the tropical sun and rain will soon sprout a luxuriant growth of lallang ferns and wild creepers .	DOT	Categpory2
24SB6BFMFFOYL9G0BY6DKESDIX6XK6	35	2	construction	1	Even in Kuala Lumpur - as modern an urban sprawl as you could imagine&#44criss-crossed by expressways and bristling with skyscrapers - a	construction	site abandoned a moment too long to the tropical sun and rain will soon sprout a luxuriant growth of lallang ferns and wild creepers .	DOT	Category3
2W80ONNVRH1K4FWDY627ANVA3Q6NW9	18	3	damage	1	The rebellion of October 1911&#44which was inspired by Dr . Sun Yat-sen&#44began in Wuchang&#44and Hankou suffered heavy	damage	in the fighting .	RES	Category1
2W80ONNVRH1K4FWDY627ANVA3Q6NW9	10	3	damage	1	The rebellion of October 1911&#44which was inspired by Dr . Sun Yat-sen&#44began in Wuchang&#44and Hankou suffered heavy	damage	in the fighting .	RES	Categpory2
2W80ONNVRH1K4FWDY627ANVA3Q6NW9	4	3	damage	1	The rebellion of October 1911&#44which was inspired by Dr . Sun Yat-sen&#44began in Wuchang&#44and Hankou suffered heavy	damage	in the fighting .	RES	Categpory2
2W80ONNVRH1K4FWDY627ANVA3Q6NW9	132	3	damage	1	The rebellion of October 1911&#44which was inspired by Dr . Sun Yat-sen&#44began in Wuchang&#44and Hankou suffered heavy	damage	in the fighting .	RES	Categpory2
2W80ONNVRH1K4FWDY627ANVA3Q6NW9	199	3	damage	1	The rebellion of October 1911&#44which was inspired by Dr . Sun Yat-sen&#44began in Wuchang&#44and Hankou suffered heavy	damage	in the fighting .	RES	Categpory2
2A4OFXRDS4ICO5LC5CAFQ11BKO4UX0	8	199	discount	23	Fourth&#44the	discount	elasticity was set equal to zero&#44with corresponding zeros in the eXe model .	DOT	Categpory2
2A4OFXRDS4ICO5LC5CAFQ11BKO4UX0	81	199	discount	23	Fourth&#44the	discount	elasticity was set equal to zero&#44with corresponding zeros in the eXe model .	DOT	Categpory2
2A4OFXRDS4ICO5LC5CAFQ11BKO4UX0	12	199	discount	23	Fourth&#44the	discount	elasticity was set equal to zero&#44with corresponding zeros in the eXe model .	DOT	Categpory2
2A4OFXRDS4ICO5LC5CAFQ11BKO4UX0	14	199	discount	23	Fourth&#44the	discount	elasticity was set equal to zero&#44with corresponding zeros in the eXe model .	DOT	Categpory2
2A4OFXRDS4ICO5LC5CAFQ11BKO4UX0	2	199	discount	23	Fourth&#44the	discount	elasticity was set equal to zero&#44with corresponding zeros in the eXe model .	DOT	Categpory2
2KFUYT3DHJHPR20C2VVYCRSYR3DT0E	22	4	discount	1	Rate ( s ) and justification : Three levels of presort	discounts	based on processing costs bypassed because of worksharing by mailers .	RES	Category1
2KFUYT3DHJHPR20C2VVYCRSYR3DT0E	6	4	discount	1	Rate ( s ) and justification : Three levels of presort	discounts	based on processing costs bypassed because of worksharing by mailers .	RES	Categpory2
2KFUYT3DHJHPR20C2VVYCRSYR3DT0E	74	4	discount	1	Rate ( s ) and justification : Three levels of presort	discounts	based on processing costs bypassed because of worksharing by mailers .	RES	Category1
2KFUYT3DHJHPR20C2VVYCRSYR3DT0E	108	4	discount	1	Rate ( s ) and justification : Three levels of presort	discounts	based on processing costs bypassed because of worksharing by mailers .	RES	Category3
2KFUYT3DHJHPR20C2VVYCRSYR3DT0E	5	4	discount	1	Rate ( s ) and justification : Three levels of presort	discounts	based on processing costs bypassed because of worksharing by mailers .	RES	Categpory2
22OVCPWZ9RNDJ9BUJ7YSR3DUY0BQBJ	11	200	illustration	23	But I can give two	illustrations	&#44 both from ballets by George Balanchine that I have on tape .	PROC	Categpory2
22OVCPWZ9RNDJ9BUJ7YSR3DUY0BQBJ	78	200	illustration	23	But I can give two	illustrations	&#44 both from ballets by George Balanchine that I have on tape .	PROC	Category1
22OVCPWZ9RNDJ9BUJ7YSR3DUY0BQBJ	8	200	illustration	23	But I can give two	illustrations	&#44 both from ballets by George Balanchine that I have on tape .	PROC	Categpory2
22OVCPWZ9RNDJ9BUJ7YSR3DUY0BQBJ	17	200	illustration	23	But I can give two	illustrations	&#44 both from ballets by George Balanchine that I have on tape .	PROC	Category3
22OVCPWZ9RNDJ9BUJ7YSR3DUY0BQBJ	11	200	illustration	23	But I can give two	illustrations	&#44 both from ballets by George Balanchine that I have on tape .	PROC	Categpory2
2JMSMEZZ2MIK9EWTQ40Y78TXE3S5MA	3	201	imitation	23	Did I feel better because I did n't have a brick of	imitation	banana in my stomach ? )	RES	Categpory2
2JMSMEZZ2MIK9EWTQ40Y78TXE3S5MA	17	201	imitation	23	Did I feel better because I did n't have a brick of	imitation	banana in my stomach ? )	RES	Categpory2
2JMSMEZZ2MIK9EWTQ40Y78TXE3S5MA	7	201	imitation	23	Did I feel better because I did n't have a brick of	imitation	banana in my stomach ? )	RES	Categpory2
2JMSMEZZ2MIK9EWTQ40Y78TXE3S5MA	81	201	imitation	23	Did I feel better because I did n't have a brick of	imitation	banana in my stomach ? )	RES	Category1
2JMSMEZZ2MIK9EWTQ40Y78TXE3S5MA	11	201	imitation	23	Did I feel better because I did n't have a brick of	imitation	banana in my stomach ? )	RES	Categpory2
2WLQ0JG5TYMNZNLAMO69WSSIF7AKG1	11	202	invention	23	As a precautionary measure I consulted the menu&#44and there my eye fell on the vermicelles . I explained to my companions that this must be pasta&#44a kind of Continental macaroni ( in those days macaroni was about the only kind of pasta you ever saw in England&#44if we mercifully forget the incredible	invention	of spaghetti on toast ) .	DOT	Categpory2
2WLQ0JG5TYMNZNLAMO69WSSIF7AKG1	72	202	invention	23	As a precautionary measure I consulted the menu&#44and there my eye fell on the vermicelles . I explained to my companions that this must be pasta&#44a kind of Continental macaroni ( in those days macaroni was about the only kind of pasta you ever saw in England&#44if we mercifully forget the incredible	invention	of spaghetti on toast ) .	DOT	Categpory2
2WLQ0JG5TYMNZNLAMO69WSSIF7AKG1	10	202	invention	23	As a precautionary measure I consulted the menu&#44and there my eye fell on the vermicelles . I explained to my companions that this must be pasta&#44a kind of Continental macaroni ( in those days macaroni was about the only kind of pasta you ever saw in England&#44if we mercifully forget the incredible	invention	of spaghetti on toast ) .	DOT	Category1
2WLQ0JG5TYMNZNLAMO69WSSIF7AKG1	5	202	invention	23	As a precautionary measure I consulted the menu&#44and there my eye fell on the vermicelles . I explained to my companions that this must be pasta&#44a kind of Continental macaroni ( in those days macaroni was about the only kind of pasta you ever saw in England&#44if we mercifully forget the incredible	invention	of spaghetti on toast ) .	DOT	Categpory2
2WLQ0JG5TYMNZNLAMO69WSSIF7AKG1	3	202	invention	23	As a precautionary measure I consulted the menu&#44and there my eye fell on the vermicelles . I explained to my companions that this must be pasta&#44a kind of Continental macaroni ( in those days macaroni was about the only kind of pasta you ever saw in England&#44if we mercifully forget the incredible	invention	of spaghetti on toast ) .	DOT	Categpory2
22R2HECWA6X3LFZBXF3P9KXQBOXLK9	7	5	illustration	1	Terry Jordan s book has an	illustration	of twelve different subtypes of wooden Latin crosses found on Mexican graves in Texas ( 78 ) .	RES	Categpory2
22R2HECWA6X3LFZBXF3P9KXQBOXLK9	7	5	illustration	1	Terry Jordan s book has an	illustration	of twelve different subtypes of wooden Latin crosses found on Mexican graves in Texas ( 78 ) .	RES	Categpory2
22R2HECWA6X3LFZBXF3P9KXQBOXLK9	70	5	illustration	1	Terry Jordan s book has an	illustration	of twelve different subtypes of wooden Latin crosses found on Mexican graves in Texas ( 78 ) .	RES	Categpory2
22R2HECWA6X3LFZBXF3P9KXQBOXLK9	5	5	illustration	1	Terry Jordan s book has an	illustration	of twelve different subtypes of wooden Latin crosses found on Mexican graves in Texas ( 78 ) .	RES	Categpory2
22R2HECWA6X3LFZBXF3P9KXQBOXLK9	8	5	illustration	1	Terry Jordan s book has an	illustration	of twelve different subtypes of wooden Latin crosses found on Mexican graves in Texas ( 78 ) .	RES	Categpory2
2I2274J79KQWTSVMMLLXJCD5N3MIGP	10	203	purchase	23	As the application of advancing technology continues&#44systems will be able to directly transmit receipt and acceptance data from points of	purchase	to central locations for invoice examination and payment authorization .	DOT	Category1
2I2274J79KQWTSVMMLLXJCD5N3MIGP	9	203	purchase	23	As the application of advancing technology continues&#44systems will be able to directly transmit receipt and acceptance data from points of	purchase	to central locations for invoice examination and payment authorization .	DOT	Categpory2
2I2274J79KQWTSVMMLLXJCD5N3MIGP	10	203	purchase	23	As the application of advancing technology continues&#44systems will be able to directly transmit receipt and acceptance data from points of	purchase	to central locations for invoice examination and payment authorization .	DOT	Categpory2
2I2274J79KQWTSVMMLLXJCD5N3MIGP	68	203	purchase	23	As the application of advancing technology continues&#44systems will be able to directly transmit receipt and acceptance data from points of	purchase	to central locations for invoice examination and payment authorization .	DOT	Categpory2
2I2274J79KQWTSVMMLLXJCD5N3MIGP	16	203	purchase	23	As the application of advancing technology continues&#44systems will be able to directly transmit receipt and acceptance data from points of	purchase	to central locations for invoice examination and payment authorization .	DOT	Category1
2SM9F9SSSHX1OABMA8WH9F8KMUYUY6	35	6	invention	1	This bowdlerizing was the subject of extensive correspondence in the Guardian ( London ) bemoaning that the new edition had dropped the witty	invention	of earlier editions .	DOT	Category1
2SM9F9SSSHX1OABMA8WH9F8KMUYUY6	17	6	invention	1	This bowdlerizing was the subject of extensive correspondence in the Guardian ( London ) bemoaning that the new edition had dropped the witty	invention	of earlier editions .	DOT	Categpory2
2SM9F9SSSHX1OABMA8WH9F8KMUYUY6	75	6	invention	1	This bowdlerizing was the subject of extensive correspondence in the Guardian ( London ) bemoaning that the new edition had dropped the witty	invention	of earlier editions .	DOT	Category1
2SM9F9SSSHX1OABMA8WH9F8KMUYUY6	62	6	invention	1	This bowdlerizing was the subject of extensive correspondence in the Guardian ( London ) bemoaning that the new edition had dropped the witty	invention	of earlier editions .	DOT	Category3
2SM9F9SSSHX1OABMA8WH9F8KMUYUY6	22	6	invention	1	This bowdlerizing was the subject of extensive correspondence in the Guardian ( London ) bemoaning that the new edition had dropped the witty	invention	of earlier editions .	DOT	Categpory2
2808IUB2YU9868FS3QUL4FBKROY8KA	231	7	purchase	1	This means that&#44under NIPA&#44business computer	purchases	count as saving and investment&#44but spending to train workers to use the new computers counts as current consumption rather than investment .	DOT	Category3
2808IUB2YU9868FS3QUL4FBKROY8KA	69	7	purchase	1	This means that&#44under NIPA&#44business computer	purchases	count as saving and investment&#44but spending to train workers to use the new computers counts as current consumption rather than investment .	DOT	Category1
2808IUB2YU9868FS3QUL4FBKROY8KA	15	7	purchase	1	This means that&#44under NIPA&#44business computer	purchases	count as saving and investment&#44but spending to train workers to use the new computers counts as current consumption rather than investment .	DOT	Categpory2
2808IUB2YU9868FS3QUL4FBKROY8KA	16	7	purchase	1	This means that&#44under NIPA&#44business computer	purchases	count as saving and investment&#44but spending to train workers to use the new computers counts as current consumption rather than investment .	DOT	Category3
2808IUB2YU9868FS3QUL4FBKROY8KA	2	7	purchase	1	This means that&#44under NIPA&#44business computer	purchases	count as saving and investment&#44but spending to train workers to use the new computers counts as current consumption rather than investment .	DOT	Categpory2
25TDDP8PJWKU04VW4QUQ79Z1TC3H6S	7	8	reference	1	The	reference	mRNA and target mRNA are usually processed together throughout the experiments&#44from RNA extraction until PCR amplification .	PROC	Categpory2
25TDDP8PJWKU04VW4QUQ79Z1TC3H6S	13	8	reference	1	The	reference	mRNA and target mRNA are usually processed together throughout the experiments&#44from RNA extraction until PCR amplification .	PROC	Categpory2
25TDDP8PJWKU04VW4QUQ79Z1TC3H6S	5	8	reference	1	The	reference	mRNA and target mRNA are usually processed together throughout the experiments&#44from RNA extraction until PCR amplification .	PROC	Categpory2
25TDDP8PJWKU04VW4QUQ79Z1TC3H6S	35	8	reference	1	The	reference	mRNA and target mRNA are usually processed together throughout the experiments&#44from RNA extraction until PCR amplification .	PROC	Category3
25TDDP8PJWKU04VW4QUQ79Z1TC3H6S	72	8	reference	1	The	reference	mRNA and target mRNA are usually processed together throughout the experiments&#44from RNA extraction until PCR amplification .	PROC	Category1
22ESBRI8IUB2LLW71WJTPB3MILLG48	98	9	simulation	1	Also&#44an article criticizes the FDA 's sloth&#44and says that computer	simulations	and small early-stage clinical trials could speed the drug-approval process .	PROC	Categpory2
22ESBRI8IUB2LLW71WJTPB3MILLG48	4	9	simulation	1	Also&#44an article criticizes the FDA 's sloth&#44and says that computer	simulations	and small early-stage clinical trials could speed the drug-approval process .	PROC	Category1
22ESBRI8IUB2LLW71WJTPB3MILLG48	7	9	simulation	1	Also&#44an article criticizes the FDA 's sloth&#44and says that computer	simulations	and small early-stage clinical trials could speed the drug-approval process .	PROC	Category1
22ESBRI8IUB2LLW71WJTPB3MILLG48	33	9	simulation	1	Also&#44an article criticizes the FDA 's sloth&#44and says that computer	simulations	and small early-stage clinical trials could speed the drug-approval process .	PROC	Categpory2
22ESBRI8IUB2LLW71WJTPB3MILLG48	16	9	simulation	1	Also&#44an article criticizes the FDA 's sloth&#44and says that computer	simulations	and small early-stage clinical trials could speed the drug-approval process .	PROC	Category3
2A79RA7S5WM1T0LR6UY0NMHMSO2UZX	66	10	acquisition	2	The objective of the study was to identify a range of best practices and technologies that could be used by federal agencies and other owners to provide adequate management and oversight of design reviews throughout the facility	acquisition	process .	PROC	Category1
2A79RA7S5WM1T0LR6UY0NMHMSO2UZX	5	10	acquisition	2	The objective of the study was to identify a range of best practices and technologies that could be used by federal agencies and other owners to provide adequate management and oversight of design reviews throughout the facility	acquisition	process .	PROC	Category1
2A79RA7S5WM1T0LR6UY0NMHMSO2UZX	5	10	acquisition	2	The objective of the study was to identify a range of best practices and technologies that could be used by federal agencies and other owners to provide adequate management and oversight of design reviews throughout the facility	acquisition	process .	PROC	Category1
2A79RA7S5WM1T0LR6UY0NMHMSO2UZX	24	10	acquisition	2	The objective of the study was to identify a range of best practices and technologies that could be used by federal agencies and other owners to provide adequate management and oversight of design reviews throughout the facility	acquisition	process .	PROC	Category1
2A79RA7S5WM1T0LR6UY0NMHMSO2UZX	113	10	acquisition	2	The objective of the study was to identify a range of best practices and technologies that could be used by federal agencies and other owners to provide adequate management and oversight of design reviews throughout the facility	acquisition	process .	PROC	Category1
22QI9NZW6HEZTF138BYTC69HCSCNX2	82	204	simulation	23	Under the Save the Social Security Surpluses	simulation	&#44 gross national saving eventually disappears&#44and the nation begins dissaving in 2047 .	PROC	Category1
22QI9NZW6HEZTF138BYTC69HCSCNX2	6	204	simulation	23	Under the Save the Social Security Surpluses	simulation	&#44 gross national saving eventually disappears&#44and the nation begins dissaving in 2047 .	PROC	Categpory2
22QI9NZW6HEZTF138BYTC69HCSCNX2	9	204	simulation	23	Under the Save the Social Security Surpluses	simulation	&#44 gross national saving eventually disappears&#44and the nation begins dissaving in 2047 .	PROC	Categpory2
22QI9NZW6HEZTF138BYTC69HCSCNX2	6	204	simulation	23	Under the Save the Social Security Surpluses	simulation	&#44 gross national saving eventually disappears&#44and the nation begins dissaving in 2047 .	PROC	Category1
22QI9NZW6HEZTF138BYTC69HCSCNX2	4	204	simulation	23	Under the Save the Social Security Surpluses	simulation	&#44 gross national saving eventually disappears&#44and the nation begins dissaving in 2047 .	PROC	Categpory2
217FE4EGDHDMPW870OEZ06HFHCYAKG	25	11	approval	2	The State or local regulatory agency then reviews the application and issues a draft	approval	0	RES	Categpory2
217FE4EGDHDMPW870OEZ06HFHCYAKG	5	11	approval	2	The State or local regulatory agency then reviews the application and issues a draft	approval	0	RES	Category1
217FE4EGDHDMPW870OEZ06HFHCYAKG	6	11	approval	2	The State or local regulatory agency then reviews the application and issues a draft	approval	0	RES	Categpory2
217FE4EGDHDMPW870OEZ06HFHCYAKG	95	11	approval	2	The State or local regulatory agency then reviews the application and issues a draft	approval	0	RES	Categpory2
217FE4EGDHDMPW870OEZ06HFHCYAKG	10	11	approval	2	The State or local regulatory agency then reviews the application and issues a draft	approval	0	RES	Category3
2OVZKPFE4EGD4491N0ZIDNZXONNH7R	3	12	classification	2	The new TMC	classification	now designates TMC 6 for EVER 1&#44and TMC 8 for EVER 2 ( Table 1 ) .	RES	Categpory2
2OVZKPFE4EGD4491N0ZIDNZXONNH7R	6	12	classification	2	The new TMC	classification	now designates TMC 6 for EVER 1&#44and TMC 8 for EVER 2 ( Table 1 ) .	RES	Categpory2
2OVZKPFE4EGD4491N0ZIDNZXONNH7R	8	12	classification	2	The new TMC	classification	now designates TMC 6 for EVER 1&#44and TMC 8 for EVER 2 ( Table 1 ) .	RES	Categpory2
2OVZKPFE4EGD4491N0ZIDNZXONNH7R	83	12	classification	2	The new TMC	classification	now designates TMC 6 for EVER 1&#44and TMC 8 for EVER 2 ( Table 1 ) .	RES	Category1
2OVZKPFE4EGD4491N0ZIDNZXONNH7R	28	12	classification	2	The new TMC	classification	now designates TMC 6 for EVER 1&#44and TMC 8 for EVER 2 ( Table 1 ) .	RES	Categpory2
2J1ENLVWJ5OPYRLUYEZYQWB8WVJT1H	22	13	construction	2	At a minimum&#44involve representatives of the owner&#44the user&#44the A / E &#44	construction	management staff&#44maintenance and operations staff&#44and special staff such as procurement&#44safety&#44and	PROC	Category1
