globalindex,lemma,lemmaindex,lleftcontext,lheadword,lrightcontext,gs_expert
62,pot,7, They continued to offer multithousand dollar jackpots : If a gambler hit the jackpot&#44he was simply paid $ 125 a day for as many days as it took to empty the,potl,0,DOT
63,spoon,7, Babies bang wooden,spoons,on overturned saucepans ; grannies rock so silently you can hear the creak of floorboards and hip bones . ,CONTAINER
64,vial,7, Dead flies were counted at each passage&#44and the number of,vials,was progressively reduced to maintain approximately 40 flies per vial . ,CONTAINER
65,bottle,8, [ She stumbles&#44the,bottle,between her hands&#44held up to release the last drops . ,CONTAINER
66,bucket,8, Now we can carry it ourselves in a solid gold,bucket,&#44 we 're so stinking rich ! &#34 ,CONTAINER
67,crate,8, Hemingway and I would carry the,crates,0,CONTAINER
68,flask,8, Plastic netting on glass beakers &#44,flasks,and other glassware minimizes breakage and subsequent shattering of the glass . ,CONTAINER
69,glass,8, 1 ) Buy Sam Adams when they want an individual,glass,of lager to be as good as it can be . ,CONTENT
70,kettle,8, If you ve become an adept of the tea ceremony&#44you ll appreciate the excellent collection of 14 th-century objects : ceramic tea bowls&#44tea,kettles,&#44 and caddies&#44as well as bamboo spoons&#44whisks&#44and flower vases . ,CONTAINER
71,pint,8, This is lined with duty-free shops selling liquor&#44perfume&#44cameras&#44CD players&#44video recorders&#44and electronic goods and British-style pubs serving,pints,of beer and bar lunches . ,CONTENT
72,pot,8, Unlike lotteries&#44which offer low odds but spectacular jackpots&#44video poker returns tiny but frequent,pots,0,CONTENT
73,vial,8, The supernatant was decanted into another,vial,and stored at 4 C . ,CONTAINER
74,bag,9, The Spy Who Shagged Me is better than anyone dared hope : bigger&#44more inventive&#44and more frolicsome than its predecessor&#44with a grab,bag,of scatological gags that are almost as riotous when you think back on them . ,CONTENT
75,bottle,9, They want to remain in&#44or return to&#44their infancy&#44when the nursing,bottle,was the cure for all discomfort and anxiety . ,DOT
76,bucket,9, Note the linking of spontaneous and nonspontaneous processes the arc of the cannonball imparting energy that winds the wheel and lifts the water-filled,bucket,0,DOT
77,container,9, [ From the text on a pint,container,of Hershey 's Chocolate Milk . ] ,CONTAINER
78,crate,9, Sure&#44there are a few bad apples in every,crate,&#44 and a few legitimate deep thinkers who sometimes get carried away . ,CONTAINER
79,flask,9, &#34 Trying to pass off a few,flasks,of blue water and dry ice as a multimillion dollar cancer research project . &#34 ,CONTENT
80,jar,9, The only answer to such rationalizations is to catch somebody with his hand in the cookie,jar,0,CONTAINER
81,kettle,9, Sapper 's design paved the way for what is still the most iconic,kettle,of all : Michael Graves ' &#34 Five O ' Clock &#34 teakettle&#44designed for Alessi and introduced in 1985&#44is conical in shape&#44with a long spout . ,CONTAINER
82,pint,9, [ From the text on a,pint,container of Hershey 's Chocolate Milk . ] ,CONTENT
83,spoon,9, The Sun called him &#34 a pampered&#44privileged young man who has achieved nothing&#44despite being born with a royal silver,spoon,in his mouth&#44despite all the undeserved advantages he has been handed . &#34 ,CONTAINER
84,vial,9, The MRC- 5 cells in the shell,vials,were fixed and permeabilized for 15 minutes in methanol : acetone ( 1 : 1 ) and then washed in PBS ( Bartels Inc .&#44Intracel Corp .&#44Frederick&#44MD&#44reconstituted in 1 liter of Millipore water&#44pH 7 . 0 - 7 . ,CONTAINER
85,bag,10, No one would be caught dead carrying a,bag,. &#34 ,CONTAINER
86,bottle,10, Grotesque examples : $ 20&#44000 watches&#44$ 14&#44000 bags&#44$ 5&#44800,bottles,of wine&#44and $ 3&#44000 sweaters are popular items&#44and some thirtysomethings are purchasing $ 10 - million apartments-- with cash . Vanity Fair exhaustively chronicles the events at Brooklyn 's 70 th precinct&#44where the &#34 Plunger Cops &#34 assaulted Abner Louima . ,DOT
87,bucket,10, The cover story argues that the vice presidency is worth more than a,bucket,of warm piss . ,CONTENT
88,container,10, Air which enters a,container,upon removal of sample should be expelled by compressing the container before reclosing&#44if possible ( i . e . ,CONTAINER
89,crate,10, Instead of noting that anybody who can control the week 's news with a press conference&#44a foreign-policy announcement&#44and a tea with domestic dissidents is no lame duck&#44the pundits indulged in psychobiography : Clinton is frustrated because &#34 the end is now in sight &#34 for his presidency ( O ' Beirne ) and he has yet to establish his &#34 legacy &#34 ( George Will&#44This Week ; Morton Kondracke&#44The McLaughlin Group ) . Because they will be chewing on the legacy thing for three more years&#44the commentarians recently ordered a,crate,of dentures . ,CONTENT
90,dish,10, Membranes were washed once more with PBS then resuspended in 1 ml PBS / 100 mm,dish,0,CONTAINER
91,jar,10, Notice the 15 chandeliers&#4410 candelabra&#44and 18 th-century Chinese porcelain,jars,along walls hung with Brussels tapestries . ,CONTAINER
92,kettle,10, In the Golden Age&#44it was used to make everyday utensils such as mugs&#44plates&#44and,kettles,0,CONTAINER
93,pint,10, A,pint,of the &#34 fortified wine &#34 that shares the book 's name would make a better investment . ,CONTENT
94,pot,10, Common recycled objects that can be found in yards are tables&#44kitchen,pots,&#44 painted tin cans&#44and car tires used as planters . ,CONTAINER
95,vial,10, Participants were instructed by pharmacists to keep all their medication in the monitoring,vial,&#44 use no other source of antihypertensive medication&#44and to remove only one dose at a time from the monitoring vial . ,CONTAINER
96,bag,11, They found numerous cash-stuffed Hefty,bag,that had been hidden in the basement ceiling-- &#34 the skim &#34 - - and five packets of white powder . ,DOT
97,bucket,11, Thereafter&#44I dropped the,bucket,down the well . ,CONTAINER
98,jar,11, These are what is sometimes referred to as black memorabilia--including Aunt Jemima cookie,jars,&#44 windup minstrel dancers&#44Amos and Andy faces&#44and the like--what another avid collector&#44Whoopi Goldberg&#44refers to as &#34 Negrobilia . &#34 ,CONTAINER
99,kettle,11, Their brief encounters with Atlantic fishermen left little impact&#44but the advent of French and later British colonizers brought&#44in exchange for their beaver pelts&#44copper,kettles,and guns&#44blankets and brandy&#44Christianity&#44measles&#44and smallpox . ,CONTAINER
100,pint,11, $ . 84 per,pint,0,CONTENT
101,spoon,11, The piece tantalizes with the news that during Camelot&#44Pierre Salinger hired a professional pickpocket to quietly recover,spoons,on their way out the door&#44and that in 1990 a Secret Service agent was convicted of stealing more than $ 7&#44000 in presidential china . ,CONTAINER
102,vial,11, And for people who are supposedly obsessed with celebrities&#44Americans seem remarkably interested in what other &#34 real &#34 people are doing--as long as what they 're doing involves either being chased down with 40,vials,of crack&#44fighting a long illness&#44driving the wrong way on a freeway&#44or getting upended off a ladder by an overly friendly springer spaniel . ,DOT
103,bucket,12, In the urethane mixing vessel operation&#44following the automated mixing and discharge of the urethane into a,bucket,&#44 the system is automatically purged with a solvent . ,CONTAINER
104,container,12, Their bodies were discovered&#44along with 15 survivors&#44inside a metal shipping,container,unloaded in Seattle . ,CONTAINER
105,dish,12, 10 6 cells were grown overnight in 6 cm diameter,dishes,with DMEM / 10 % FCS . ,CONTAINER
106,jar,12, We attached a Collison nebulizer to the drying,jar,&#44 where the aerosol is given time to dry&#44before entering the square duct through a 9 - port manifold&#44which creates a uniformly distributed aerosol . ,CONTAINER
107,kettle,12, The chirping-bird,kettle,seemed to prove that high design could also be cute . ,CONTAINER
108,plate,12, To prepare polysome samples from growing cells&#44cells were scraped from bacterial growth,plates,and suspended directly into polysome buffer . ,DOT
109,spoon,12, If you ve become an adept of the tea ceremony&#44you ll appreciate the excellent collection of 14 th-century objects : ceramic tea bowls&#44tea kettles&#44and caddies&#44as well as bamboo,spoons,&#44 whisks&#44and flower vases . ,CONTAINER
110,vial,12, Meanwhile&#44Dynabeads M- 280 Streptavidin ( 10 g / l ) was prepared by gently shaking the,vial,to obtain homogenous slurry . ,CONTAINER
111,bag,13, The key for us - - and we have to make tough decisions all the time on whether to take a case - - was visualizing what he had to do to get to the fifth floor&#44struggling with a,bag,of groceries&#44&#34 he said . ,DOT
112,bottle,13, 29 for a 24 - ounce,bottle,0,CONTAINER
113,bucket,13, ( It 's significant that the &#34 Gatorade Dump&#44&#34 where the victorious team dumps a,bucket,of Gatorade on its coach&#44was invented by Parcells ' Giants . ) ,CONTENT
114,container,13, To minimize the loss of toxicity due to volatilization of toxic constituents&#44all sample,containers,should be &#34 completely &#34 filled&#44leaving no air space between the contents and the lid . ,CONTAINER
115,crate,13, Then we would open the,crates,and remove the birds and begin the flingando . ,CONTAINER
116,dish,13, Praise goes to its new emphasis on convenience--many recipes require just 20 minutes--and its inclusion of such ethnic,dishes,as tapas and Asian noodles . ,CONTENT
117,vessel,13, But sometimes the clay,vessels,were broken accidentally by the lender before the time of return of the sheep . ,CONTAINER
118,vial,13, The adherent cells in the well were washed three times with 1 . 0 ml of PBS&#44and the cells overlaid with 400 l of lysis buffer ( 1 % Triton X- 100 in pH 7 . 5&#4420 mM HEPES buffer with 0 . 1 mM EDTA )&#44scraped&#44and collected into a glass,vial,for tocopherol analysis by HPLC&#44and for protein determination by the BCA protein assay ( Pierce&#44Rockford&#44IL ) . ,CONTAINER
119,bottle,14, This includes half-smoked cigarettes&#44condoms&#44packets of contraceptive pills&#44empty vodka,bottles,&#44 a pregnancy testing kit&#44sanitary towels&#44nylons and three pairs of her dirty knickers . &#34 ,CONTAINER
120,container,14, All,containers,should be adequately labeled to indicate their contents . ,CONTAINER
121,flask,14, Two,flasks,&#44 designated non-infected ( NI ) controls&#44were each replenished with 30 ml of fresh complete media . ,CONTAINER
122,kettle,14, Today 's,kettle,can often serve up a searing demonstration ( searing to your fingers&#44that is ) of how risky it is to redesign ordinary objects . ,CONTAINER
123,spoon,14, It makes no noise when they whack things with it ( unlike a wooden,spoon,)&#44and the blade gives them something to gnaw on&#44which they find very satisfying&#44and there 's no risk of splinters . ,CONTAINER
124,bag,15, The straw items (,bag,&#44 placemats ) are now made in China&#44as are many of the other tourist tchotchkes on sale here . ,CONTAINER
125,bottle,15, But contrary to what you read on the back of some,bottles,&#44 these terms are meaningless when applied to wine . ,CONTAINER
126,bucket,15, When the water from the,bucket,arrives at the bottom of the water pipe&#44it pushes against a flap valve&#44thereby opening the valve and watering my bean field . ,DOT
127,container,15, Extra beads of adhesive inside the,containers,should be removed . ,CONTAINER
128,spoon,15, Now anyone who hopes to persuade voters and the media that W . stands for Wasted is going to have to invent a time machine&#44take us back to the Chateau Bijon in Houston&#44and put us in the physical presence of the Bombastic Bushkin with a,spoon,up his nose . ,CONTAINER
129,bottle,16, If you can avoid those costs and still make the products you want at a reasonable price&#44you 're ahead of the game--which is why Coke makes syrup and not,bottles,and Nike contracts out all its manufacturing to hungry Third World workers . ,DOT
130,bucket,16, The initiatives undertaken to minimize the use of dibasic esters&#44e . g . introducing non-stick,buckets,&#44 also benefited workers by lessening their potential exposure&#44especially skin exposure . ,CONTAINER
131,container,16, ,Containers,made of plastics&#44such as polyethylene&#44polypropylene&#44polyvinyl chloride&#44TYGON&#44etc .&#44may be used as test chambers or to ship&#44store&#44and transfer effluents and receiving waters&#44but they should not be reused unless absolutely necessary&#44because they might carry over adsorbed toxicants from one test to another&#44if reused . ,CONTAINER
132,dish,16, To determine the subcellular distribution of mycRab 24 ( wt ) and mycRab 24 ( D 123 I )&#44293 cells were plated in 10 cm,dishes,and transfected with the indicated expression vectors . ,CONTAINER
133,flask,16, ( One wistfully pictures the lab technicians of the Academy of Arts and Sciences&#44with their beakers and,flasks,. ) ,CONTAINER
134,jar,16, The main reason for the low yields appears to be the result of large droplets falling out in the drying,jar,prior to entry into the exposure chamber . ,CONTAINER
135,pint,16, Actually&#44I might be pressed for time&#44so it would work better if we could stand around my kitchen table while I chug half a,pint,of takeout Szechwan shrimp&#44no MSG&#44before I run out to meet a friend who has also come home late from work to gulp something before we connect for a concert and dinner . ,CONTENT
136,pot,16, But not to worry&#44I 'll get the grease off the,pots,and pans before we close the house for the winter . ,CONTAINER
137,spoon,16, Since silver,spoons,sometimes lend a metallic taste to caviar&#44Mitchell sells spoons made of mother-of-pearl for as little as $ 25 a pair ( or you can save your money and use plastic ) . ,CONTAINER
138,bottle,17, One cube might correspond to all the particles flowing downward in the,bottle,&#44 another cube might correspond to a near uniform distribution of positions and momenta . ,CONTAINER
139,dish,17, Each,dish,was treated with 2 . 5 ng / ml of 5 - carboxyfluorescein diacetate&#44acetoxymethyl ester ( vital dye ; Molecular Probes&#44Eugene&#44OR ) for 45 to 90 minutes at 37 C . ,CONTAINER
140,jar,17, While Einstein was being autopsied&#44his ophthalmologist&#44Dr . Henry Abrams&#44dropped by and filched Einstein 's brown eyes as a keepsake&#44storing them in a,jar,in a Philadelphia bank vault . ,CONTAINER
141,pint,17, . . One,pint,milk&#441 pint emptins&#44to be laid over night in Spunge . ,CONTENT
142,vial,17, Each Microcon retenate cup was transferred to scintillation,vials,&#44 mixed with 5 ml BioSafe II liquid scintillation solution ( Research Products International ) by extensive vortexing&#44and its radioactivity determined using a -scintillation counter . ,CONTAINER
143,bag,18, The Postman is about a drifter in the bleak and fractured America of 2013 who finds a,bag,of undelivered mail and&#44by posing as a letter carrier&#44rouses the populace to rise up against the evil Gen . ,DOT
144,bottle,18, Floating on the bubbly : a,bottle,0,CONTAINER
145,bucket,18, But the source of the English proverb lies not in tea-parties but in teats : it is the cow who has kicked the,bucket,&#44 and the poor dairymaid who weeps over her lost labor . ) ,CONTAINER
146,container,18, After transport to the laboratory at Hopital St . Croix&#44mosquitoes were knocked down by placing trap,containers,in a - 20 C freezer for ten minutes or by introduction of a triethylamine-soaked cotton pad&#44and subsequently separated by species and sex ; undesired specimens were noted and discarded ( males and non-vector species ) . ,CONTAINER
147,glass,18, If you look closely at the ceiling&#44you ll see dolls heads&#44bottles &#44,glasses,&#44 and plates stuck in the mosaics . ,CONTAINER
148,kettle,18, The distant precursors to today 's designer,kettles,were the cane-handled electric teakettles designed in 1908 by Peter Behrens for AEG&#44the German version of General Electric . ,CONTAINER
149,plate,18, &#34 She ordered the 14 - ounce strip steak&#44two double Dewar 's on the rocks&#44and dessert&#44instead of the diet,plate,. &#34 ,CONTENT
150,spoon,18, One general observation&#44though : The wrapping paper is always more interesting to a baby than whatever 's inside&#44so my gift suggestion would be a cardboard box wrapped in bright red paper and filled with Tupperware and wooden,spoons,0,CONTAINER
151,bag,19, Outside the food industry&#44promotional tie-ins of almost any kind are deemed value-added - - T- shirts&#44tote,bag,&#44 contests&#44800 numbers&#44Web sites&#44and all the other ingredients of the vast commercial agglomeration known as &#34 marketainment . &#34 ,CONTAINER
152,bottle,19, Other alcoholic drinks that you might want to take home include branquinha ( aguardente with a stick of sugarcane in the,bottle,)&#44or a local liqueur such as licor de maracuj ( passionfruit ) or ginja ( cherry liqueur ) . ,CONTAINER
153,bucket,19, I anxiously await the,bucket,of mud Krugman is undoubtedly preparing to sling in response . ,CONTENT
154,container,19, Reagent,containers,should be dated and catalogued when received from the supplier&#44and the shelf life should not be exceeded . ,DOT
155,dish,19, His favorite,dish,&#44 from a local Chinese restaurant&#44is a chicken with cashews--without the fat-laden cashews . ,CONTENT
156,kettle,19, It is the ultimate answer to Sapper 's,kettle,&#44 because its form was generated by the desire to make it extremely difficult for users to burn their fingers . ,CONTAINER
157,plate,19, Trays &#44,plates,&#44 bowls&#44and jewelry boxes are superbly finished - and not so heavy as to create problems of excess baggage . ,CONTAINER
158,vial,19, The males only were then removed and were designated one day old&#44and were maintained at 25 C at 40 per,vial,in culture vials with food&#44and passaged to new vials every 48 h . ,CONTAINER
159,vial,19, The males only were then removed and were designated one day old&#44and were maintained at 25 C at 40 per,vial,in culture vials with food&#44and passaged to new vials every 48 h . ,CONTAINER
160,bucket,20, In a second operation&#44mixing tools used to make urethane are soaked or agitated in,buckets,of dibasic esters ( instead of methylene chloride ) and then soaked and rinsed in a tank of hot polyethylene glycol . ,CONTAINER
161,container,20, And suppliers get little return out of providing customers with standardized shipping,container,markers if neither of these channel players has made previous investments in bar codes and EDI . ,CONTAINER
162,flask,20, Prepare all graduated cylinders&#44test,flasks,&#44 bottles&#44volumetric flasks&#44centrifuge tubes and vials used in algal assays as follows : ,CONTAINER
163,jar,20, Harvey 's volunteer driver&#44Michael Paterniti&#44described getting his hands in the cookie,jar,: I actually feel as if I might puke . ,CONTAINER
