globalindex,lemma,lemmaindex,lleftcontext,lheadword,lrightcontext,gs_expert
12,Afghanistan,2, During the summer and early autumn of 2000&#44Bin Ladin and senior al Qaeda leaders in,Afghanistan,started selecting the muscle hijackers-the operatives who would storm the cockpits and control the passengers . ,LOC
13,America,2, Over the past 24 hours&#44authorities on two of,America,'s most distant shores handed down punishments to two miscreants&#44Capt . ,LOC
14,California,2, The vaquero from,California,also worked on very large ranches&#44such as the Tejon ranch in the lower San Joaquin Valley . ,LOC
15,China,2, Newsweek 's bigger package offers a book excerpt from Sinophile Henry Kissinger on the history of U . S . -,China,relations that lionizes Deng and Mao Tse-tung ( and&#44of course&#44Kissinger ) . ,ORG
16,Europe,2, Its environmentally-sensitive development of the Costa Smeralda is a mecca for,Europe,s yachting set and August sees its limited five-star hotels booked months in advance . ,ORG
17,Afghanistan,3, ,Afghanistan,'s ruling Taliban faction said the plane would be forced to leave the country if a settlement is not reached soon . ,DOT
18,California,3, According to Stewart 's account&#44the Clintons continued to fret about their ability to have children&#44and the following year even considered visiting a fertility doctor at the University of,California,at San Francisco . ,DOT
19,Canada,3, A letter writer once accused The [ Toronto ] Globe and Mail &#44,Canada,'s newspaper of record&#44of setting a new record for splitting an infinitive . ,DOT
20,London,3, The father of Dodi Fayed&#44who died with Princess Diana in a car crash in Paris last summer&#44told,London,'s Daily ,DOT
21,Germany,3, In,Germany,&#44 the Frankfurter Allgemeine Zeitung ran a front-page headline reading &#34 Rapprochement between Washington and Moscow &#34 and stressed their commitment to future cooperation . ,LOC
22,America,3, The RPH claims he is working for the good of,America,or the Republican Party or both . ,ORG
23,China,3, ,China,began to relax trade restrictions&#44and with the rise of Hong Kong&#44Macau became an isolated Portuguese outpost . ,ORG
24,Europe,3, Primakov said that the Balkan conflict has undermined his efforts to democratize Russian institutions&#44combat corruption&#44guarantee free expression&#44and bring Russia closer to,Europe,&#44 because it has reopened Russian religious&#44political&#44and ethnic divisions and&#44above all&#44revived Russian hatred of the West . ,ORG
25,Afghanistan,4, The bad news : That 's because nobody in,Afghanistan,has it . ,LOC
26,Canada,4, Marie and across to,Canada,0,LOC
27,Europe,4, In the spring&#44thousands of serious cyclists come to Mallorca from all over,Europe,to race over the island and grind up the steepest mountain passes . ,LOC
28,London,4, In,London,&#44 the Times and the Daily Telegraph&#44both conservative papers&#44were delighted . ,LOC
29,America,4, Your help today will enable us to strengthen further,America,'s philanthropic heritage by expanding the Center 's crucial educational&#44leadership and outreach programs . ,ORG
30,California,4, Maine is one of 48 states--,California,and New Hampshire have opted out--spending the $ 50 million a year Congress allocates for abstinence education&#44with every $ 4 of federal money matched with $ 3 of state funds . ,ORG
31,China,4, The Times reported that Human Rights Watch endorsed the,China,deal&#44but failed to point out that the organization is conditioning its support in the following way : ,ORG
32,Germany,4, American officials are asking,Germany,to let the agent stay . ,ORG
33,California,5, All this for an initiative that&#44notes the paper&#44won the approval of nearly 60 percent of,California,voters . ,DOT
34,Canada,5, The conservative National Post of,Canada,asked what the effect of a compatible legislature and executive would be and decided that&#44&#34 In foreign policy&#44the recent anti- Western tendency is likely to continue&#44but more cautiously and less explicitly . ,DOT
35,Europe,5, In La Repubblica of Rome&#44the columnist Bernardo Valli discussed the prevailing skepticism of American economists and media opinion toward the single European currency&#44the euro&#44citing Milton Friedman 's prediction that it would fail and Martin Feldstein 's ( in Foreign Affairs ) that it could lead to bitter conflict in,Europe,0,DOT
36,Afghanistan,5, The same plane&#44the paper reminds&#44she used while traveling last August just before U . S . cruise missile strikes into,Afghanistan,and Sudan . ,LOC
37,Germany,5, But the Framework Programme 's failures need not spell disaster for the fledgling funding council&#44insists Lennart Philipson&#44former director general of the European Molecular Biology Laboratory ( EMBL ) in Heidelberg &#44,Germany,&#44 and now an emeritus professor at the Karolinska Institute in Stockholm&#44Sweden . ,LOC
38,London,5, Gingrich also had the single most expensive free trip--a four-day jaunt to,London,that cost Atlantic Richfield $ 33&#44000 . ,LOC
39,Africa,5, The history of many European countries is such that Europe has much stronger ties with,Africa,than does the United States&#44so it makes political sense for the European Union to fund research that provides a springboard for European researchers to compete effectively with US scientists . ,ORG
40,America,5, A column claims that,America,has gone too far in its war against &#34 the new evil empire &#34 - - tobacco . ,ORG
41,America,6, Luckily&#44or so you 'd think&#44the Library of,America,has galloped to the rescue with a gigantic new edition to tout her worth . ,DOT
42,California,6, Looming large in the paper 's survey are the reactions of,California,'s senators&#44both Democrats . ,DOT
43,Afghanistan,6, The other diplomatic route to get at Bin Ladin in,Afghanistan,ran through Islamabad . ,LOC
44,England,6, Map 33 shows the distribution of child ( most of southern,England,) and of bairn ( north of a slightly wavy line between Boston&#44on the Wash to the east&#44and Lancaster&#44on the west coast ) . ,LOC
45,Germany,6, They brought the approach of single-species management to near-perfection&#44says Boris Worm&#44a marine ecologist at the Institute for Marine Science in Kiel &#44,Germany,0,LOC
46,London,6, In,London,Monday&#44the Guardian reported on its front page that President Clinton tried to recruit Britain 's best-known spin doctor to help him in his present troubles . ,LOC
47,Germany,7, Specifically&#44we relied on national saving data for the G- 7 nations- Canada&#44France &#44,Germany,&#44 Italy&#44,DOT
48,London,7, The Financial Times of,London,said Monday that Albania was trying to get diplomatic advantage from its acceptance of more than 320&#44000 Kosovar refugees by demanding quick entry into the European Union&#44overriding the usual criteria for membership . ,DOT
49,Afghanistan,7, None of the papers mentions it&#44but such a warning preceded by only a few days the recent cruise missile attacks into,Afghanistan,0,LOC
50,America,7, A profile crowns Chris Rock &#34 The Funniest Man in,America,. &#34 ,LOC
51,California,7, . If it reaches areas where there are a lot of beeches&#44it could potentially mirror what 's happening in,California,&#44 he warns . ,LOC
52,Canada,7, Most of the 130 - odd sources are&#44quite naturally&#44UK in origin and persuasion&#44with a fair sprinkling of US periodicals ; others looked at include Australia &#44,Canada,&#44 Malaysia&#44Turkey&#44Hong Kong&#44and France ( for The International Herald Tribune ) . Ayto writes well&#44and his Introduction ( actually&#44to get fussy about it&#44Foreword or Preface ) sets forth clearly the aims and purposes of this collection of neologisms . ,LOC
53,England,7, i i had a friend from,England,visit once at Christmas and we could n't get her out of the what she called the back garden because she wanted to go back with a sunburn and she went back to the north of England with a sunburn ,LOC
54,Afghanistan,8, Binalshibh proceeded to,Afghanistan,&#44 made his report&#44and spent the next several months there and in Pakistan . ,LOC
55,Africa,8, If the ancient Romans were to meet up with Latin letters in modern central,Africa,&#44 Micro- or Indonesia would be flummoxed for certain ! ,LOC
56,California,8, See April Testimony at 22 ( testimony of Cynthia Rice &#44,California,Rural Legal Assistance ) . ,LOC
57,Canada,8, When American Independence was declared&#44some 40&#44000 Loyalists - New Englanders and Germans from Pennsylvania&#44but also some Indians and black African slaves - moved north to,Canada,0,LOC
58,England,8, According to the EFL Gazette [ June 1988 ]&#44a judge in Birmingham &#44,England,&#44 was outraged that a Pakistani&#44resident in Britain for 23 years&#44had the effrontery to be so ignorant of English as to need an interpreter in court ; he sentenced the culprit to two years ' probation with the condition that he learn the language . ,LOC
59,Europe,8, By the end of the 15 th century&#44when King Mtys ( see page 16 ) was resident&#44the palace&#44like his grand Buda residence&#44was famous all over,Europe,0,LOC
60,London,8, Monday&#44markets in Tokyo &#44,London,&#44 and elsewhere prohibited the trading of specific stocks . ,LOC
61,China,8, Stripped of clutter and confusion&#44the gist of Gerth 's Pulitzer Prize series was that President Clinton had helped a campaign contributor to leak important military secrets to,China,0,ORG
62,Germany,8, In short&#44there is no prestatable set of necessary and suYcient conditions about the actions of individual humans for the United Kingdom to manage to go to war with,Germany,0,ORG
63,California,9, ,California,&#44 the balmy home of the next Democratic National Convention&#44is currently featuring Tim himself . ,DOT
64,Canada,9, The boom in American popular culture inundated,Canada,with radio&#44movies&#44and mass-market magazines . ,DOT
65,Europe,9, A member of Hungary s dynasty&#44Count Gyrgy Festetics&#44founded,Europe,s rst agricultural school here in 1797&#44which is now the Keszthely University of Agricultural Sciences . ,DOT
66,Germany,9, Hillgruber added his own provocative twist by proclaiming that German historians were obliged to &#34 identify &#34 with the German soldiers on the Eastern front who were protecting,Germany,from Bolshevism . ,DOT
67,London,9, The Times of,London,&#44 another anti- Clinton paper&#44splashed the headline &#34 Clinton : The Great Escape &#34 across its front page and said in an editorial ( &#34 Suspended Sentence &#34 ) that a &#34 revival in Mr . Clinton 's standing can only be achieved through foreign policy&#44&#34 which will require a huge investment of his time for uncertain returns . ,DOT
68,Afghanistan,9, The hijackers were given 10 hours to leave,Afghanistan,and have presumably vanished into Pakistan . ,LOC
69,China,9, President Clinton&#44all the papers note&#44appeared angry at a press conference&#44resolving to continue America 's seven-year-old ban on nuclear tests and warning that the election of a pro-test president in 2000 could provoke tests by Russia &#44,China,&#44 India&#44and Pakistan . ,ORG
70,America,10, Dole : This is about,America,0,DOT
71,Afghanistan,10, Though Bin Ladin 's destination was,Afghanistan,&#44 Pakistan was the nation that held the key to his ability to use Afghanistan as a base from which to revive his ambitious enterprise for war against the United States . ,LOC
72,Africa,10, But it is not only those ideological empires ; the re-assertion of defensive primordial identities is taking place in,Africa,&#44 and Belgium&#44and even the United Kingdom . ,LOC
73,China,10, One of the most recent&#44one kilometer from the vaults now open to the public&#44contains stone armor&#44the oldest ever found in,China,0,LOC
74,Europe,10, The Paris daily Libration announced on its front page Thursday that the arrival in,Europe,of the Viagra pill this week has lifted the taboo on discussion of sexual dysfunction . ,LOC
75,Germany,10, ,Germany,is dragging down the euro&#44but both might rebound because the new government is deregulating&#44unions are learning accommodation&#44and a cheaper euro may boost exports . ,ORG
76,Afghanistan,11, Thus&#44for a brief period in 1999&#44Mes Aynak was the only al Qaeda camp operating in,Afghanistan,0,LOC
77,Boston,11, Nothing in,Boston,can match the beauty of the courtyard in the Isabella Stewart Gardner Museum . ,LOC
78,Germany,11, rabbit anti-p 65 polyclonal ( Rockland &#44,Germany,) and goat anti-rabbit horseradish peroxidase conjugated antibody ( Sigma ) were used as primary and secondary antibody respectively at a 1 : 1000 dilution . ,LOC
79,America,11, Ne ' matt said Kosovo had given the United States greater credibility in the Middle East and broader room for maneuver&#44since a number of states that Washington classifies as &#34 radical&#44&#34 such as Syria and Libya&#44have shown that &#34 they fully understand the rules of the game &#34 and have taken to dealing with,America,much more intelligently and pragmatically than before . ,ORG
80,Canada,11, The British North America Act of 1867 created the Dominion of,Canada,0,ORG
81,China,11, The NYT front continues to peck at the Clinton / China connection with a piece claiming that federal investigators have come across new evidence about,China,'s 1996 political contributions . ,ORG
82,Europe,11, The United States should de-emphasize engagement with Asia and turn back toward,Europe,0,ORG
83,London,11, The United States finds them useful and is too polite to tell,London,how little weight it carries in the world . ,ORG
84,America,12, Writers Do&#44&#34 a panel discussion sponsored by the Writers Guild of,America,earlier this month . ,DOT
85,England,12, One of the more perplexing--actually&#44I 'll say it 's the most perplexing--facts about television today is that there is essentially nowhere&#44other than pay-per-view&#44where you can watch international soccer such as the European or FA Cups&#44let alone regular-season matches from,England,'s Premier League or Italy 's Serie A . ,DOT
86,Afghanistan,12, Though he emphasized the worldwide nature of the conflict&#44the references to specific enemies or regions named only the Taliban&#44al Qaeda&#44and,Afghanistan,0,LOC
87,California,12, Monoclonal antibodies VCAM&#44STRO- 1&#44ICAM- 1 ( CD 54 )&#44CD 105&#44CD 29&#44and MF 20 were from Developmental Studies Hybridoma Bank ( University of Iowa&#44Iowa City&#44Iowa&#44United States ) ; CD 73&#44CD 44&#44and ALCAM ( CD 166 ) were from BD Biosciences Pharmingen ( San Diego &#44,California,&#44 United States ) . ,LOC
88,Canada,12, Published coding error rates relating to diabetes in,Canada,could not be identified . ,LOC
89,China,12, Its main op-ed feature was about,China,'s new yearning for international respectability . ,ORG
90,Germany,12, Grass ' sarcasm is a welcome respite from the heavy-handed literalism of so much contemporary Holocaust narrative&#44from the 1979 television series Holocaust ( another mass catalyst for German self-awareness ) to Schindler 's List to the odious Jakob the Liar . And yet&#44for all of Grass ' rage at,Germany,'s crimes&#44the fact that The Tin Drum rarely names those crimes or explores their existence&#44and seems so focused on the souls of the Germans&#44with little empathy to spare for their victims&#44makes the book feel more like a step on the way to something than like the thing itself--whether that thing be a more moral or simply a greater work of literature . ,ORG
91,Canada,13, These countries are Australia &#44,Canada,&#44 Hong Kong&#44New Zealand&#44Sweden&#44the Netherlands&#44the UK and the USA . ,DOT
92,England,13, Such shifts have been somewhat slower in,England,&#44 but seem now to be speeding up . ,DOT
93,Afghanistan,13, Motassadeq would help conceal the Hamburg group 's trip to,Afghanistan,in late 1999 . ,LOC
94,China,13, The small&#44whitewashed chapelwas the first Protestant church built in,China,0,LOC
95,Europe,13, To weigh the impact&#44we subtract the community prevalence of VRE in the US ( &lt; 1 % ) from the community prevalence of VRE in,Europe,( &gt; 2 % ) . ,LOC
96,Germany,13, The Axis powers rolled in and carved up the region : Albania 's Fascist government&#44headed by a puppet of Mussolini 's&#44seized the biggest chunk&#44while Bulgaria and,Germany,each occupied a strip . ,ORG
97,Afghanistan,14, For the September 10 meeting&#44see NSC memo&#44Biegun to executive secretaries&#44Summary of Conclusions for Sept . 10&#442001&#44Deputies Committee meeting on,Afghanistan,&#44 India and Pakistan&#44Sept . 26&#442001 . ,DOT
98,London,14, USA Today runs a four-column headline-- &#34 DIANA 'S DRIVER LEGALLY DRUNK &#34 - - across its top front&#44and gives the whole rest of its 1 A over to various Di-gressions : not just the drinking and the speeding&#44but also the funeral plans&#44a Prince William profile and a detail about the driver it credits to the Times of,London,&#44 reporting that just before speeding away from the Ritz he taunted photographers by telling them &#34 Catch me if you can . &#34 ,DOT
99,Africa,14, Embassies in,Africa,0,LOC
100,Boston,14, um-hum um Atlanta 's horrible yes have we have a lot of people moving here from,Boston,and and different areas and from talking to them they 're shocked ,LOC
101,California,14, Sorry to inform you that in,California,it is a finable offense to use a handicapped-designated restroom stall if you 're able-bodied . ,LOC
102,China,14, Japan invaded northern,China,on the eve of World War II&#44seizing the capital in 1937 after a valiant battle at the Marco Polo Bridge ( one of many new monuments added to Beijing in the 20 th century ) . ,LOC
103,Germany,14, In,Germany,&#44 the Frankfurter Allgemeine Zeitung led Friday on a UNICEF report that more children are now born in poverty than ever before&#44and the paper discussed the growing AIDS catastrophe in Africa&#44where 21 million people are infected with the disease . ,LOC
104,Canada,14, In an editorial Monday&#44it criticized,Canada,and the United States for paring down foreign aid at a time when poverty was growing in the sub- Saharan region . ,ORG
105,Europe,14, He has &#34 surpassed Netanyahu in status at the White House&#44&#34 the editorial said&#44while &#34,Europe,stands united behind him&#44and the Arab states are only waiting for the signal to send official representatives to the Palestinian state . &#34 ,ORG
106,California,15, ,California,has the highest number of people in poverty in the nation - 6 . 4 million&#44including nearly one in five children . ,DOT
107,Canada,15, Treasury Board of,Canada,Secretariat- www . tbssct . gc . ca ,DOT
108,China,15, ,China,has its own Primary Colors - - a novel curiously reminiscent of the recent scandal that ruined a top Communist Party official . ,DOT
109,Afghanistan,15, The Counterterrorist Center planned to brief cabinet-level principals and their deputies the following week&#44giving June 23 as the date for the raid&#44with Bin Ladin to be brought out of,Afghanistan,no later than July 23 . ,LOC
110,Germany,15, Zimmermann 's reputation in,Germany,is said to be excellent . ,LOC
111,London,15, Scotland so much but i could go back listen i could go back into,London,any day of the week and the beautiful thing about that is you could take a train out of London and head any direction it does n't make any difference and take these fabulous day trips and anywhere you go is interesting and uh the last time we went we found this really uh small kind of quaint hotel actually we found it over there on the trip before but stayed in it the last time that was reasonable reasonable and uh just used that as a base and then took day trips on the trains the train system is wonderful which makes me wonder when we 'll ever get our act together here in the US and have a and have a decent um uh transportation system but we 'd just take day trips and that was that was a nice way to do it ,LOC
112,England,15, Yet again a minor - the infant James V - succeeded to the throne&#44and Scots nobles were divided as to whether Scotland should draw closer to,England,or seek help from her old ally&#44France . ,ORG
113,Canada,16, In contrast&#44the decreasing trends in the number of publications per investment dollar in,Canada,and United States could reflect a trend towards more costly research in larger scientific programs . ,DOT
114,Afghanistan,16, To this end&#44al Qaeda required jihadists to turn in their passports before going to the front lines in,Afghanistan,0,LOC
115,Europe,16, Surrounded by elegant classical mansions and gilded wrought-iron grilles with ornamental gateways&#44which frame the marble fountains of Neptune and Amphitrite&#44Nancy s huge Place Stanislas is one of the most harmonious urban spaces in,Europe,0,LOC
116,Germany,16, In,Germany,Monday&#44the Frankfurter Allgemeine Zeitung called the move &#34 Yeltsin 's coup &#34 but added in a front-page comment that the next few days would show whether Yeltsin has only been acting on whim or whether there 's a strategy behind it . ,LOC
117,America,16, Apple&#44speaking for many&#44pointed out the incongruity of Clinton 's call to action at a time when,America,faces no great threat . ,ORG
118,China,16, It concluded&#44&#34 Japan cannot afford to stand idly by :,China,'s difficulties make ours look small in comparison . &#34 ,ORG
119,California,17, The rule is the result of the Ozone Transport Commission ( OTC ) recommendation that EPA mandate a low emission vehicle program based on the,California,program . ,DOT
120,Afghanistan,17, Success was to be defined as the exfiltration of Bin Ladin out of,Afghanistan,0,LOC
121,America,17, No doubt to the annoyance and disbelief of day-care opponents&#44such as the Rockford Institute and the Center on the Family in,America,&#44 a study newly released by the National Institute of Child Health and Human Development found that day care does not hinder a child 's intellectual development . ,LOC
122,Boston,17,&#44Little&#44Brown &#44,Boston,&#44 1955 . ,LOC
123,Canada,17, In,Canada,&#44 the National Post reported Thursday on a commemoration ceremony for the 229 people who died last Sept . 2 when Swissair Flight 111 crashed in St . Margaret 's Bay&#44Nova Scotia . ,LOC
124,Europe,17, The story also reports that on Wednesday the House of Representatives passed a threat to keep the Concorde from landing in the U . S . in retaliation for a European ruling&#44designed to promote European aviation equipment sales&#44that would ban many older U . S . planes from,Europe,0,LOC
125,Germany,17, We compared the present results with data in a previously published tabulation of A and B haplotypes which occurred with significantly greater frequency in hemochromatosis patients than in corresponding control patients ; data were available from,Germany,&#44 Denmark&#44Sweden&#44Brittany&#44Portugal&#44Italy&#44Australia&#44and Utah ( Table 5 ) [ Additional file 3 ] [ 16 ] [ 31 ] . Frequencies of the A * 03 - B * 07 haplotype were increased in all hemochromatosis patient groups . ,LOC
126,China,17, In Hong Kong&#44the South China Morning Post ran an editorial congratulating Clinton for his role in,China,'s decision to send Tiananmen Square hero Wang Dan into exile in the United States . ,ORG
127,America,18, Newsweek 's meaty package explains Heaven 's Gate 's daft cosmology and catalogs,America,'s other doomsday sects . ,DOT
128,California,18, The,California,primaries and ballot initiatives demonstrate that 1 ) California voters are content with the status quo ( career politicians won big ) and 2 ) it does n't take money to win elections anymore ( millionaire political neophytes lost big ) . ,DOT
129,Afghanistan,18, In return&#44the British learned the delights of polo ( imported with the Mughals from Persia and,Afghanistan,) and a kind of game-hunting that made grouse-shooting seem tame . ,LOC
130,China,18, Today s Indonesians mainly descend from people who came from south,China,via the Malay peninsula and moved along the island chain to Java&#44Bali&#44Lombok&#44and beyond&#44from 3000 to 1000 b . c . ,LOC
131,Europe,18, The Organization for Security and Cooperation in,Europe,should press Russia to cease fire and grant Chechnya autonomy . ,LOC
132,London,18, In early October&#44Moussaoui went to,London,0,LOC
133,Afghanistan,19, Set against the evidence of moderation in Iran&#44the Taliban 's advance in,Afghanistan,has generated alarm&#44particularly among ex- Soviet Central Asian governments&#44who fear the spread of Islamic fundamentalism northward . ,DOT
134,America,19, These two covert courts depart from,America,'s open legal culture&#44and endow the judicial branch with a level of secrecy more typical of the executive than the courts . ,DOT
135,Canada,19, Every country needs its mythic place&#44and,Canada,s is the fabled North&#44the icy wasteland in which the country and the world like to cloak the national image . ,DOT
136,London,19, The Times of,London,&#44 in an editorial expressing &#34 heartfelt sympathy &#34 for the people of Moscow--and also for the Russian administration &#34 lumbered with yet another crisis &#34 - - warned&#44nevertheless&#44against an abuse of power . ,DOT
137,China,19, I especially liked NBC correspondent Soledad O ' Brien 's one about why refugees from Cuba are allowed to stay in the United States while refugees from Haiti or,China,are not . ,LOC
138,England,19, ' Jones wrote The particulars of this burletta are contained in the following letter from an officer on the spot&#44to his friend in,England,dated at Philadelphia&#44the 20 th of May 1778 . ,LOC
139,Germany,19, The &#34 Group of Eight &#34 ( the United States&#44Britain&#44Canada&#44France &#44,Germany,&#44 Italy&#44Japan&#44and Russia ) approved &#34 general principles on ,ORG
140,Europe,20, It is hardly surprising that a cardinal aim of Russian policy is to counter NATO 's influence in central,Europe,&#44 &#34 and the role of honest broker between the West and Belgrade gave them an ideal opportunity to do so&#44&#34 the paper said . ,DOT
141,Germany,20, Berlin boomed as the center of,Germany,s machine industry and was a perfect market for mass-circulation newspapers and big department stores such as KaDeWe ( Kaufhaus des Westens )&#44founded in 1907 . ,DOT
142,London,20, The massacre of eight Western tourists in Uganda this week was the subject of much editorial comment in the British press&#44with the Times of,London,seeing it as a kind of karmic revenge for the West 's refusal five years ago to act against&#44or at first even acknowledge&#44&#34 the extraordinary genocide in Rwanda--the worst action of its kind since the second world war . &#34 ,DOT
143,Afghanistan,20, Back in,Afghanistan,&#44 Bin Ladin anticipated U . S . military retaliation . ,LOC
144,Africa,20, Although this fact is not new&#44as evidenced by the increase in social marketing of bednets in,Africa,[ 26 ]&#44it does provide more evidence that even among the least educated&#44living in very degraded slums&#44people avoid mosquitoes if they can afford it . ,LOC
145,Boston,20, ,Boston,&#44 MA : Kluwer Academic Publishers . ,LOC
146,Canada,20, This finding is very similar to a laboratory-based survey conducted in the mid- 1980 s in,Canada,where 52 % of the cases of cryptosporidiosis had traveled to Mexico [ 54 ] . There is&#44however&#44a possibility that ascertainment bias could be the reason that foreign travel was found to be a significant risk factor in our study . ,LOC
147,China,20, Madeleine Albright journeyed to,China,for the first time since the Belgrade embassy bombing but barely mentioned the crackdown . ,LOC
148,California,21, That analysis shows an annual estimated cost ( vehicle price increases ) of the national program for states other than,California,of $ 950 million&#44as opposed to the $ 350 million annual cost for the OTC program alone . ,DOT
149,Afghanistan,21, southern or western,Afghanistan, ,LOC
150,Africa,21, In the 15 th and 16 th centuries&#44they ushered in an Age of Discovery&#44rounding,Africa,s Cape of Good Hope and eventually reaching India and the Pacific . ,LOC
151,China,21, The climatic conditions of,China,s oven are nevertheless hostile to humans . ,LOC
152,Europe,21, As Hausmann 's work grew more formal and Heartfield became the most effective agitprop artist in,Europe,&#44 Hch became more playful . ,LOC
153,America,21, And here it is : director of an action / romance with,America,'s favorite hero . ,ORG
154,Canada,21, Third&#44immigration law enforcement should be strengthened&#44and the INS should tighten controls on the Canadian border ( including stepping up U . S . -,Canada,cooperation ) . ,ORG
155,America,22, Book - - John Wayne 's,America,: The Politics of Celebrity&#44by Garry Wills ; ,DOT
156,England,22, Most everyone else in the world rations implicitly through a process known as &#34 queuing &#34 in,England,by progressively increasing the length of time needed to obtain services until the least hardy either get better&#44get discouraged&#44or die . ,DOT
157,London,22, The Daily Telegraph of,London,reported Wednesday from Gnjilane in eastern Kosovo that American Navy and Army welders have repaired a statue of a Serb hero that was damaged by a mob of Albanian Kosovars . ,DOT
158,Afghanistan,22, By September&#44the United States was becoming openly critical of Pakistan for supporting a Taliban military offensive aimed at completing the conquest of,Afghanistan,0,LOC
159,Boston,22, Although commuter trains ( see page 117 ) run from,Boston,to Salem&#44Manchester&#44Gloucester&#44and Rockport&#44in most cases you are discharged a long way from beaches and sights so again you really need a car . ,LOC
160,China,22, The WP describes Clinton 's trip to,China,&#44 continuing today with a community leaders ' roundtable in Shanghai and an appearance on a radio call-in show ( wonder how long the delay is )&#44as an &#34 experiment in diplomacy as personal performance&#44&#34 referring to the familiar campaign stump style Clinton used in two talks on Chinese national television . ,LOC
161,Europe,22, The resulting heights form a fitness landscape over the genotype space&#44much as the Alps form a mountainous landscape over part of,Europe,0,LOC
162,Germany,22, The second round of amplification utilized 0 . 5 to 1 g aRNA as starting material and resembled the first round&#44except for random hexamer pd ( N ) 6 ( Boehringer Mannheim&#44Igelheim &#44,Germany,) used in the reverse-transcription reaction in place of the template-switch primer . ,LOC
163,Canada,22, This site highlights the reports and assessment guides associated with,Canada,'s initiative to modernize its comptrollership function . ,ORG
164,Europe,23, Instead&#44it has caused a larger exodus of refugees and seriously devastated stability and peace in the Balkans and even,Europe,. &#34 ,DOT
165,Afghanistan,23, CIA officials also began pressing proposals to use their ties with the Northern Alliance to get American agents on the ground in,Afghanistan,for an extended period&#44setting up their own base for covert intelligence collection and activity in the Panjshir Valley and lessening reliance on foreign proxies . &#34 ,LOC
166,Africa,23, In Asia and,Africa,the Monica Lewinsky scandal was still alive and kicking . ,LOC
167,California,23, In 1994&#4471 % of the live births to white women were to mothers aged 30 years and over in Marin County&#44as compared with 46 % in,California,[ 14 ] . In addition&#4469 % of all women aged 55 - 64 years and 47 % of all women aged 45 and over reported using hormone replacement therapy as part of a community health survey conducted in Marin County in 2001 ( RRE&#44unpublished data&#442002 ) although comparable figures are not available for the state . ,LOC
168,Canada,23, Richard Gordon&#44Professor of Radiology at the University of Manitoba in Winnipeg &#44,Canada,&#44 somewhat accidentally laid the foundations of diatom nanotechnology in 1988 when he was invited to give a lecture at an engineering conference . ,LOC
